"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"2plbrEY59IikOBgBGLjaoe","Die With A Smile","Lady Gaga, Bruno Mars","1","0","0","","2024-11-18","100","False","251667","Die With A Smile","2024-08-16","0.521","0.592","6","-7.777","0","0.0304","0.308","0.0","0.122","0.535","157.969","3"
"5vNRhkKd0yEAg8suGBpjeY","APT.","ROSÉ, Bruno Mars","2","0","0","","2024-11-18","98","False","169917","APT.","2024-10-18","0.777","0.783","0","-4.477","0","0.26","0.0283","0.0","0.355","0.939","149.027","4"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","3","0","0","","2024-11-18","97","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams","4","0","2","","2024-11-18","92","True","166300","The Secret of Us (Deluxe)","2024-10-18","0.554","0.808","1","-4.169","1","0.0368","0.214","0.0","0.159","0.372","108.548","4"
"7tI8dRuH2Yc6RuoTjxo4dU","Who","Jimin","5","0","-1","","2024-11-18","92","False","170887","MUSE","2024-07-19","0.66","0.756","0","-3.743","0","0.032","0.00289","0.0","0.193","0.838","116.034","4"
"1cOboCuWYI2osTOfolMRS6","Tu Boda","Oscar Maydon, FuerSouth Africa Regida","6","0","-1","","2024-11-18","93","True","225880","Tu Boda","2024-09-26","0.694","0.651","6","-6.968","1","0.0784","0.496","1.36e-05","0.0787","0.471","112.648","3"
"5G2f63n7IPVPPjfNIGih7Q","Taste","Sabrina Carpenter","7","2","0","","2024-11-18","94","False","157279","Short n' Sweet","2024-08-23","0.674","0.907","3","-4.086","1","0.064","0.101","0.0","0.297","0.721","112.964","4"
"2262bWmqomIaJXwCRHr13j","Sailor Song","Gigi Perez","8","2","1","","2024-11-18","93","False","211978","Sailor Song","2024-07-26","0.494","0.413","11","-10.432","1","0.0254","0.682","6.72e-05","0.193","0.273","94.938","4"
"2HRqTpkrJO5ggZyyK6NPWz","Espresso","Sabrina Carpenter","9","3","-1","","2024-11-18","88","True","175459","Short n' Sweet","2024-08-23","0.699","0.776","0","-5.282","1","0.0293","0.131","5.36e-06","0.205","0.708","103.963","4"
"3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","Billie Eilish","10","1","2","","2024-11-18","92","False","261466","HIT ME HARD AND SOFT","2024-05-17","0.467","0.247","6","-12.002","0","0.0431","0.612","0.000271","0.17","0.126","148.101","4"
"6WatFBLVB0x077xWeoVc2k","Si Antes Te Hubiera Conocido","KAROL G","11","7","0","","2024-11-18","93","False","195824","Si Antes Te Hubiera Conocido","2024-06-21","0.924","0.668","11","-6.795","1","0.0469","0.446","0.000594","0.0678","0.787","128.027","4"
"1EDPVGbyPKJPeGqATwXZvN","The Emptiness Machine","Linkin Park","12","-5","38","","2024-11-18","73","True","190427","From Zero","2024-11-15","0.466","0.872","7","-3.344","1","0.0336","0.0156","0.0","0.121","0.806","184.115","4"
"0WbMK4wrZ1wFSty9F7FCgu","Good Luck, Babe!","Chappell Roan","13","1","-3","","2024-11-18","94","False","218423","Good Luck, Babe!","2024-04-05","0.7","0.582","11","-5.96","0","0.0356","0.0502","0.0","0.0881","0.785","116.712","4"
"3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone","14","5","-1","","2024-11-18","89","False","180304","Fireworks & Rollerblades","2024-04-05","0.472","0.471","10","-5.692","1","0.0603","0.151","0.0","0.14","0.219","105.029","3"
"4p7DTkyrKqT98xlIwYYfXz","Running Wild","Jin","15","-7","35","","2024-11-18","80","False","151646","Happy","2024-11-15","0.487","0.711","8","-4.22","1","0.0322","0.000175","0.0","0.152","0.317","146.921","4"
"1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","The Weeknd, Playboi Carti","16","1","-2","","2024-11-18","92","True","256000","Timeless","2024-09-27","0.769","0.722","11","-5.485","0","0.0507","0.0584","2.56e-06","0.111","0.57","119.973","4"
"0l0vcZMU7AOeQmUIREoI2U","Qué Pasaría...","Rauw Alejandro, Bad Bunny","17","-4","33","","2024-11-18","76","True","191018","Cosa Nuestra","2024-11-15","0.833","0.563","4","-5.593","0","0.204","0.528","1.27e-05","0.139","0.343","105.008","4"
"2tHwzyyOLoWSFqYNjeVMzj","Please Please Please","Sabrina Carpenter","18","4","-3","","2024-11-18","87","True","186365","Short n' Sweet","2024-08-23","0.675","0.586","9","-6.086","1","0.0531","0.257","0.0","0.104","0.621","107.015","4"
"0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","19","27","29","","2024-11-18","85","False","241106","Merry Christmas","1994-10-28","0.336","0.627","7","-7.463","1","0.0384","0.164","0.0","0.0708","0.35","150.273","4"
"2HBBM75Xv3o2Mqdyh1NcM0","Heavy Is the Crown","Linkin Park","20","-5","30","","2024-11-18","72","False","167012","From Zero","2024-11-15","0.571","0.928","4","-3.725","0","0.0453","0.00932","0.0","0.297","0.488","127.939","4"
"17phhZDn6oGtzMe56NuWvj","Lose Control","Teddy Swims","21","2","-5","","2024-11-18","89","False","210688","I've Tried Everything But Therapy (Part 1)","2023-09-15","0.561","0.604","9","-4.409","1","0.0337","0.199","1.9e-05","0.104","0.242","159.92","3"
"3hRV0jL3vUpRrcy398teAU","The Night We Met","Lord Huron","22","3","20","","2024-11-18","88","False","208211","Strange Trails","2015-04-06","0.448","0.369","9","-9.514","1","0.0452","0.968","0.272","0.638","0.0998","174.097","3"
"51rfRCiUSvxXlCSCfIztBy","I Love You, I'm Sorry","Gracie Abrams","23","-2","0","","2024-11-18","90","True","157146","The Secret of Us","2024-06-21","0.53","0.406","10","-7.507","1","0.033","0.656","0.0","0.133","0.338","115.94","3"
"0KKkJNfGyhkQ5aFogxQAPU","That's What I Like","Bruno Mars","24","3","-7","","2024-11-18","88","False","206693","24K Magic","2016-11-17","0.853","0.56","1","-4.961","1","0.0406","0.013","0.0","0.0944","0.86","134.066","4"
