spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,0,0,,2024-11-19,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3,
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",2,0,0,,2024-11-19,98,False,169917,APT.,2024-10-18,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4,
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,3,0,0,,2024-11-19,97,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,4,0,1,,2024-11-19,93,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4,
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,5,0,-1,,2024-11-19,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4,
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",6,0,0,,2024-11-19,93,True,225880,Tu Boda,2024-09-26,0.694,0.651,6,-6.968,1,0.0784,0.496,0.0000136,0.0787,0.471,112.648,3,
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,7,1,1,,2024-11-19,93,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4,
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,8,-1,-1,,2024-11-19,94,False,157279,Short n' Sweet,2024-08-23,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4,
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,9,1,1,,2024-11-19,92,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,10,-1,-1,,2024-11-19,88,True,175459,Short n' Sweet,2024-08-23,0.699,0.776,0,-5.282,1,0.0293,0.131,0.00000536,0.205,0.708,103.963,4,
7MD8gswt08VhFwVF1PR8Mg,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)","Mr Pilato, Ego Slimflow, Tebogo G Mashego, SJE Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii",1,0,0,South Africa,2024-11-19,61,False,454778,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",2024-11-08,0.848,0.588,9,-10.935,1,0.0532,0.00115,0.00485,0.0523,0.301,113.002,4,
